league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ESP-La Liga,9091,Zaragoza,24,25.0,,38,,3420,38,,,,,,,93,,,,,,,/en/squads/800303a0/1990-1991/Zaragoza-Stats
ESP-La Liga,9192,Albacete,24,25.9,,38,,3420,38,,,,,,,69,,,,,,,/en/squads/b7e3e46e/1991-1992/Albacete-Stats
ESP-La Liga,9192,Athletic Club,23,24.3,,38,,3420,38,,,,,,,93,,,,,,,/en/squads/2b390eca/1991-1992/Athletic-Club-Stats
ESP-La Liga,9192,Atlético Madrid,24,26.4,,38,,3420,38,,,,,,,85,,,,,,,/en/squads/db3b9613/1991-1992/Atletico-Madrid-Stats
ESP-La Liga,9192,Barcelona,19,26.0,,38,,3420,38,,,,,,,65,,,,,,,/en/squads/206d90db/1991-1992/Barcelona-Stats
ESP-La Liga,9192,Cádiz,23,26.4,,38,,3420,38,,,,,,,92,,,,,,,/en/squads/ee7c297c/1991-1992/Cadiz-Stats
ESP-La Liga,9192,Dep La Coruña,24,26.7,,38,,3420,38,,,,,,,50,,,,,,,/en/squads/2a60ed82/1991-1992/Deportivo-La-Coruna-Stats
ESP-La Liga,9192,Espanyol,28,25.3,,38,,3420,38,,,,,,,91,,,,,,,/en/squads/a8661628/1991-1992/Espanyol-Stats
ESP-La Liga,9192,Logroñés,26,27.4,,38,,3420,38,,,,,,,83,,,,,,,/en/squads/696c8d95/1991-1992/Logrones-Stats
ESP-La Liga,9192,Mallorca,28,25.2,,38,,3420,38,,,,,,,71,,,,,,,/en/squads/2aa12281/1991-1992/Mallorca-Stats
