,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Home_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsScored_Last5,Away_GoalsConceded_Last5
3329,Albacete,Espanol,2,1,H,1.0,1.0,D,1.0,1.6,0.4,1.4
3330,Ath Bilbao,Santander,1,2,A,1.0,1.0,D,1.0,1.2,1.0,1.4
3331,Sevilla,Celta,0,1,A,0.0,1.0,A,1.6,1.6,1.4,1.2
3332,Sociedad,Valencia,0,0,D,0.0,0.0,D,1.2,2.4,2.6,1.6
3333,Valladolid,La Coruna,1,1,D,0.0,0.0,D,1.4,0.6,0.4,0.8
3334,Villarreal,Mallorca,0,2,A,0.0,0.0,D,0.8,0.8,1.8,1.4
3335,Real Madrid,Ath Madrid,2,0,H,2.0,0.0,H,1.4,1.2,2.0,0.8
3336,Betis,Murcia,1,1,D,0.0,0.0,D,0.6,1.6,1.0,2.2
3337,Espanol,Osasuna,0,1,A,0.0,0.0,D,0.6,1.0,0.8,0.6
3338,Malaga,Barcelona,5,1,H,2.0,0.0,H,0.8,0.8,1.8,1.2
3339,Celta,Albacete,2,2,D,1.0,1.0,D,0.8,1.2,1.0,1.2
3340,Santander,Sevilla,0,4,A,0.0,3.0,A,1.2,1.0,1.0,1.2
3341,Zaragoza,Ath Bilbao,2,2,D,1.0,2.0,A,1.4,1.0,1.2,1.2
3342,Barcelona,Real Madrid,1,2,A,0.0,1.0,A,1.4,2.2,1.8,1.2
3343,La Coruna,Malaga,1,0,H,0.0,0.0,D,0.6,0.6,1.6,0.6
3344,Osasuna,Celta,3,2,H,1.0,1.0,D,0.6,0.6,0.8,1.2
3345,Sociedad,Betis,0,4,A,0.0,2.0,A,1.2,1.6,0.8,1.4
3346,Mallorca,Valladolid,1,0,H,1.0,0.0,H,1.8,1.4,1.4,0.6
3347,Valencia,Ath Bilbao,2,1,H,1.0,0.0,H,2.2,1.2,1.2,1.4
3348,Sevilla,Zaragoza,3,2,H,1.0,2.0,A,1.6,1.0,1.8,1.4
3349,Ath Madrid,Espanol,2,0,H,1.0,0.0,H,1.2,1.2,0.4,1.2
3350,Albacete,Santander,4,0,H,1.0,0.0,H,1.0,1.6,1.2,1.6
3351,Murcia,Villarreal,1,1,D,1.0,0.0,H,1.2,1.8,0.8,0.8
3352,Celta,Ath Madrid,2,2,D,2.0,1.0,H,1.2,1.6,1.2,1.0
3353,Espanol,Barcelona,1,3,A,1.0,3.0,A,0.4,1.2,1.0,2.0
3354,Villarreal,Sociedad,2,0,H,2.0,0.0,H,0.8,1.0,0.6,1.8
3355,Santander,Osasuna,0,0,D,0.0,0.0,D,1.0,2.4,1.2,0.8
3356,Valladolid,Murcia,0,0,D,0.0,0.0,D,1.0,0.8,1.4,2.0
3357,Zaragoza,Albacete,0,1,A,0.0,0.0,D,1.8,2.0,1.8,1.2
3358,Malaga,Mallorca,3,1,H,1.0,1.0,D,1.2,0.8,2.0,0.4
3359,Betis,Valencia,0,1,A,0.0,1.0,A,1.4,1.0,1.6,1.4
3360,Ath Bilbao,Sevilla,2,1,H,2.0,1.0,H,1.4,1.2,2.2,1.0
3361,Real Madrid,La Coruna,2,1,H,1.0,0.0,H,1.6,1.4,0.8,0.6
3362,Ath Madrid,Santander,2,2,D,0.0,0.0,D,1.4,1.4,0.6,2.2
3363,Sociedad,Valladolid,1,3,A,1.0,1.0,D,0.4,1.8,0.8,0.6
3364,Valencia,Sevilla,1,0,H,0.0,0.0,D,1.6,1.0,1.6,1.2
3365,Osasuna,Zaragoza,0,1,A,0.0,1.0,A,1.0,0.6,1.6,2.0
3366,Murcia,Malaga,1,2,A,1.0,1.0,D,1.2,1.2,1.6,1.0
3367,Mallorca,Real Madrid,1,3,A,1.0,1.0,D,1.4,0.8,1.8,0.8
3368,La Coruna,Espanol,2,1,H,1.0,1.0,D,0.6,0.8,0.6,1.6
3369,Barcelona,Celta,1,1,D,0.0,1.0,A,1.2,2.0,1.4,1.8
3370,Albacete,Ath Bilbao,1,1,D,1.0,1.0,D,2.0,1.0,1.6,1.4
3371,Betis,Villarreal,1,3,A,0.0,0.0,D,1.2,0.8,1.2,0.8
3372,Celta,La Coruna,0,5,A,0.0,2.0,A,1.6,1.6,1.0,1.0
3373,Real Madrid,Murcia,1,0,H,1.0,0.0,H,2.0,0.8,1.0,1.2
3374,Zaragoza,Ath Madrid,0,0,D,0.0,0.0,D,1.4,1.8,1.6,1.2
3375,Sevilla,Albacete,2,0,H,1.0,0.0,H,1.6,1.2,2.0,0.8
3376,Valencia,Villarreal,4,2,H,0.0,1.0,A,1.4,0.6,1.4,0.8
3377,Valladolid,Betis,0,0,D,0.0,0.0,D,0.8,0.6,1.4,1.4
3378,Santander,Barcelona,3,0,H,0.0,0.0,D,0.8,2.2,1.2,1.8
3379,Espanol,Mallorca,2,0,H,1.0,0.0,H,0.6,2.0,1.4,1.4
3380,Ath Bilbao,Osasuna,1,1,D,1.0,1.0,D,1.4,1.6,1.0,0.8
3381,Malaga,Sociedad,1,2,A,1.0,2.0,A,2.0,1.2,0.6,2.2
3382,Albacete,Valencia,0,1,A,0.0,1.0,A,1.6,1.0,1.6,0.6
3383,Mallorca,Celta,2,4,A,1.0,1.0,D,1.0,1.6,1.4,2.6
3384,Sociedad,Real Madrid,1,0,H,0.0,0.0,D,0.6,2.0,2.0,0.6
3385,Villarreal,Valladolid,3,1,H,1.0,0.0,H,1.6,1.6,0.8,0.6
3386,Osasuna,Sevilla,1,1,D,0.0,0.0,D,1.0,0.8,2.0,1.0
3387,Murcia,Espanol,0,1,A,0.0,1.0,A,0.6,1.0,0.8,1.6
3388,La Coruna,Santander,1,1,D,1.0,0.0,H,2.0,0.8,1.0,2.0
3389,Betis,Malaga,3,0,H,1.0,0.0,H,1.2,1.0,2.2,1.2
3390,Barcelona,Zaragoza,3,0,H,2.0,0.0,H,1.2,2.4,1.0,1.2
3391,Ath Madrid,Ath Bilbao,3,0,H,0.0,0.0,D,1.2,1.2,1.4,1.4
3392,Barcelona,Ath Bilbao,1,1,D,0.0,0.0,D,1.6,1.4,1.0,1.6
3393,Murcia,Celta,2,2,D,0.0,2.0,A,0.4,1.0,1.8,2.6
3394,Valladolid,Valencia,0,0,D,0.0,0.0,D,0.8,1.0,1.8,0.6
3395,Villarreal,Malaga,2,0,H,0.0,0.0,D,2.2,1.4,1.2,1.6
3396,Osasuna,Albacete,1,1,D,1.0,1.0,D,1.0,1.0,1.2,0.8
3397,Mallorca,Santander,1,1,D,0.0,0.0,D,1.0,2.4,1.2,1.4
3398,Sociedad,Espanol,3,1,H,1.0,0.0,H,0.8,2.0,1.0,1.4
3399,Betis,Real Madrid,1,1,D,1.0,0.0,H,1.6,0.8,1.6,0.8
3400,Ath Madrid,Sevilla,2,1,H,1.0,0.0,H,1.8,0.8,1.4,1.2
3401,La Coruna,Zaragoza,4,1,H,1.0,1.0,D,2.0,0.8,0.6,1.4
3402,Albacete,Ath Madrid,1,1,D,0.0,1.0,A,0.6,1.0,1.8,1.0
3403,Real Madrid,Villarreal,2,1,H,1.0,0.0,H,1.4,0.8,2.4,1.2
3404,Zaragoza,Mallorca,1,3,A,0.0,2.0,A,0.4,1.6,1.0,2.6
3405,Sevilla,Barcelona,0,1,A,0.0,1.0,A,1.0,1.2,1.6,1.2
3406,Santander,Murcia,3,2,H,1.0,1.0,D,1.4,0.8,0.6,1.2
3407,Valencia,Osasuna,0,1,A,0.0,1.0,A,1.4,0.4,0.6,0.8
3408,Espanol,Betis,1,2,A,0.0,2.0,A,1.2,1.6,1.0,1.0
3409,Celta,Sociedad,2,5,A,1.0,2.0,A,1.8,2.4,1.4,1.4
3410,Ath Bilbao,La Coruna,1,0,H,0.0,0.0,D,1.0,1.4,2.6,1.0
3411,Malaga,Valladolid,2,3,A,1.0,1.0,D,1.2,1.8,0.8,0.8
3412,Ath Madrid,Osasuna,1,1,D,0.0,1.0,A,1.6,0.8,0.8,0.8
3413,Betis,Celta,1,0,H,1.0,0.0,H,1.4,1.0,1.8,3.0
3414,Malaga,Valencia,1,6,A,0.0,2.0,A,1.0,2.2,1.2,0.6
3415,Valladolid,Real Madrid,2,3,A,2.0,0.0,H,1.4,1.2,1.4,0.8
3416,Barcelona,Albacete,5,0,H,1.0,0.0,H,1.2,1.0,0.6,1.2
3417,La Coruna,Sevilla,1,0,H,1.0,0.0,H,2.4,0.8,0.8,1.0
3418,Mallorca,Ath Bilbao,1,3,A,1.0,1.0,D,1.4,2.2,0.8,1.2
3419,Murcia,Zaragoza,1,0,H,1.0,0.0,H,1.0,1.8,0.6,2.0
3420,Sociedad,Santander,1,0,H,0.0,0.0,D,2.4,1.4,2.0,1.2
3421,Villarreal,Espanol,0,1,A,0.0,0.0,D,2.2,1.6,1.2,1.4
3422,Valencia,Ath Madrid,3,0,H,1.0,0.0,H,2.2,0.8,1.4,0.6
3423,Real Madrid,Malaga,2,1,H,1.0,0.0,H,1.4,1.0,0.8,3.2
3424,Albacete,La Coruna,0,2,A,0.0,0.0,D,0.4,2.0,2.2,0.6
3425,Ath Bilbao,Murcia,2,1,H,2.0,1.0,H,1.2,1.2,1.0,1.4
3426,Celta,Villarreal,2,1,H,1.0,0.0,H,1.6,3.0,1.6,1.6
3427,Espanol,Valladolid,2,0,H,0.0,0.0,D,1.2,1.0,1.2,1.6
3428,Osasuna,Barcelona,1,2,A,0.0,1.0,A,1.0,0.8,2.0,0.8
3429,Santander,Betis,1,2,A,1.0,1.0,D,1.6,1.0,1.4,0.4
3430,Sevilla,Mallorca,3,0,H,0.0,0.0,D,0.8,1.0,1.4,2.2
3431,Zaragoza,Sociedad,2,1,H,1.0,1.0,D,0.4,2.2,2.4,0.8
3432,Sociedad,Ath Bilbao,1,1,D,1.0,1.0,D,2.2,1.0,1.4,1.2
3433,Murcia,Sevilla,1,3,A,0.0,1.0,A,1.2,1.6,1.0,1.0
3434,Barcelona,Ath Madrid,3,1,H,3.0,1.0,H,2.4,0.4,1.4,1.2
3435,Betis,Zaragoza,2,1,H,2.0,1.0,H,1.8,0.6,0.8,2.4
3436,La Coruna,Osasuna,2,0,H,2.0,0.0,H,1.6,0.6,1.0,1.0
3437,Malaga,Espanol,5,2,H,3.0,1.0,H,0.8,3.2,1.2,1.0
3438,Mallorca,Albacete,0,0,D,0.0,0.0,D,1.4,2.4,0.4,2.0
3439,Real Madrid,Valencia,1,1,D,0.0,0.0,D,1.6,1.2,2.0,0.4
3440,Valladolid,Celta,0,2,A,0.0,0.0,D,1.2,2.0,2.0,2.2
3441,Villarreal,Santander,6,3,H,3.0,1.0,H,1.4,1.2,1.2,1.4
3442,Valencia,Barcelona,0,1,A,0.0,0.0,D,2.0,0.6,2.4,0.6
3443,Sevilla,Sociedad,1,0,H,0.0,0.0,D,1.4,1.0,2.2,1.2
3444,Espanol,Real Madrid,2,4,A,1.0,1.0,D,1.4,2.0,1.8,1.2
3445,Celta,Malaga,0,2,A,0.0,1.0,A,1.6,1.8,1.8,3.0
3446,Ath Madrid,La Coruna,0,0,D,0.0,0.0,D,1.0,1.8,1.8,0.4
3447,Albacete,Murcia,1,0,H,1.0,0.0,H,0.4,1.8,1.4,2.0
3448,Ath Bilbao,Betis,1,1,D,0.0,0.0,D,1.6,0.8,1.6,0.8
3449,Osasuna,Mallorca,1,1,D,1.0,1.0,D,0.8,1.2,1.0,1.6
3450,Santander,Valladolid,1,0,H,0.0,0.0,D,1.6,2.4,1.0,1.8
3451,Zaragoza,Villarreal,4,1,H,3.0,0.0,H,1.0,2.2,2.0,1.6
3452,Betis,Sevilla,1,1,D,1.0,1.0,D,1.6,0.8,1.4,0.6
3453,Valladolid,Zaragoza,1,2,A,1.0,1.0,D,1.0,2.0,1.6,1.6
3454,Villarreal,Ath Bilbao,0,1,A,0.0,1.0,A,1.8,2.4,1.6,0.8
3455,Sociedad,Albacete,0,1,A,0.0,0.0,D,1.6,1.2,0.4,1.6
3456,Real Madrid,Celta,4,2,H,0.0,1.0,A,2.4,1.4,1.2,1.8
3457,Murcia,Osasuna,0,1,A,0.0,1.0,A,1.0,1.8,0.8,1.2
3458,La Coruna,Barcelona,2,3,A,0.0,2.0,A,1.0,0.2,2.4,0.4
3459,Malaga,Santander,1,0,H,1.0,0.0,H,2.2,2.6,1.6,2.2
3460,Espanol,Valencia,2,1,H,1.0,0.0,H,1.6,2.2,2.0,0.8
3461,Mallorca,Ath Madrid,0,1,A,0.0,0.0,D,1.0,1.6,0.6,1.6
3462,Santander,Real Madrid,1,1,D,1.0,1.0,D,1.0,2.0,2.8,1.6
3463,Celta,Espanol,1,5,A,0.0,2.0,A,1.2,1.6,1.8,2.0
3464,Osasuna,Sociedad,1,1,D,1.0,0.0,H,0.8,1.2,0.6,1.0
3465,Valencia,La Coruna,3,0,H,1.0,0.0,H,2.2,1.0,1.4,0.6
3466,Zaragoza,Malaga,1,0,H,0.0,0.0,D,1.8,1.2,2.0,2.0
3467,Sevilla,Villarreal,2,0,H,0.0,0.0,D,1.6,0.6,1.6,2.2
3468,Barcelona,Mallorca,3,2,H,2.0,0.0,H,2.8,0.8,0.4,1.6
3469,Ath Bilbao,Valladolid,1,4,A,0.0,3.0,A,1.6,0.8,0.6,2.0
3470,Albacete,Betis,1,0,H,1.0,0.0,H,0.4,1.4,1.4,0.8
3471,Ath Madrid,Murcia,1,1,D,0.0,0.0,D,0.6,1.4,0.6,1.4
3472,Real Madrid,Zaragoza,1,1,D,1.0,1.0,D,2.4,1.4,2.0,1.0
3473,Sociedad,Ath Madrid,2,1,H,2.0,0.0,H,0.6,1.2,0.6,1.4
3474,Betis,Osasuna,1,1,D,1.0,1.0,D,1.2,1.0,0.8,1.2
3475,Celta,Valencia,0,2,A,0.0,1.0,A,1.4,2.4,1.6,0.8
3476,Espanol,Santander,0,1,A,0.0,0.0,D,2.6,2.2,1.2,2.0
3477,Malaga,Ath Bilbao,2,1,H,0.0,1.0,A,1.8,1.0,1.2,1.4
3478,Mallorca,La Coruna,4,2,H,2.0,1.0,H,0.6,1.6,1.2,1.2
3479,Murcia,Barcelona,0,2,A,0.0,1.0,A,0.6,1.6,2.4,1.2
3480,Valladolid,Sevilla,2,0,H,0.0,0.0,D,1.0,1.6,2.0,0.4
3481,Villarreal,Albacete,2,1,H,0.0,1.0,A,1.6,2.4,0.6,0.4
3482,Ath Bilbao,Real Madrid,4,2,H,2.0,0.0,H,1.0,1.6,2.2,1.4
3483,Ath Madrid,Betis,2,1,H,0.0,0.0,D,0.8,1.2,1.0,1.0
3484,La Coruna,Murcia,1,0,H,1.0,0.0,H,1.2,2.0,0.4,1.6
3485,Valencia,Mallorca,5,1,H,1.0,0.0,H,1.4,0.8,1.4,1.4
3486,Sevilla,Malaga,0,1,A,0.0,0.0,D,1.4,0.8,2.0,0.8
3487,Santander,Celta,4,4,D,2.0,1.0,H,1.2,1.6,1.0,2.6
3488,Zaragoza,Espanol,1,1,D,1.0,1.0,D,1.8,1.0,2.2,2.4
3489,Barcelona,Sociedad,1,0,H,0.0,0.0,D,2.4,1.0,0.8,1.0
3490,Albacete,Valladolid,2,0,H,1.0,0.0,H,0.8,0.4,1.4,1.2
3491,Osasuna,Villarreal,2,1,H,1.0,0.0,H,0.8,1.0,1.8,2.2
3492,Espanol,Ath Bilbao,2,1,H,1.0,0.0,H,2.0,1.6,1.6,1.8
3493,Sociedad,La Coruna,1,2,A,1.0,1.0,D,0.6,1.0,1.0,2.0
3494,Valladolid,Osasuna,1,1,D,1.0,0.0,H,1.4,1.2,1.2,0.8
3495,Santander,Valencia,0,3,A,0.0,2.0,A,1.4,1.2,2.2,0.8
3496,Real Madrid,Sevilla,5,1,H,2.0,0.0,H,2.4,2.0,0.8,0.8
3497,Villarreal,Ath Madrid,0,0,D,0.0,0.0,D,0.8,2.0,1.0,0.8
3498,Malaga,Albacete,1,1,D,0.0,1.0,A,1.2,0.4,1.2,0.4
3499,Celta,Zaragoza,0,2,A,0.0,0.0,D,1.4,3.4,1.8,0.8
3500,Murcia,Mallorca,2,0,H,1.0,0.0,H,0.2,1.2,1.6,2.4
3501,Albacete,Real Madrid,1,2,A,0.0,1.0,A,1.2,0.6,2.6,1.8
3502,Barcelona,Villarreal,0,0,D,0.0,0.0,D,2.0,0.8,0.6,1.2
3503,Sevilla,Espanol,1,0,H,0.0,0.0,D,0.8,1.8,2.0,1.0
3504,Zaragoza,Santander,2,2,D,1.0,0.0,H,1.4,0.6,1.2,1.8
3505,Ath Bilbao,Celta,0,0,D,0.0,0.0,D,1.6,2.0,1.4,3.4
3506,Ath Madrid,Valladolid,2,1,H,2.0,0.0,H,1.0,0.8,1.6,1.2
3507,La Coruna,Betis,2,2,D,2.0,1.0,H,1.4,2.2,0.8,1.2
3508,Mallorca,Sociedad,1,1,D,0.0,1.0,A,1.4,2.6,0.8,1.2
3509,Osasuna,Malaga,1,1,D,1.0,0.0,H,1.2,0.8,1.0,0.6
3510,Valencia,Murcia,2,0,H,0.0,0.0,D,2.8,0.6,0.6,1.0
3511,Malaga,Ath Madrid,3,1,H,2.0,1.0,H,1.0,0.8,1.2,1.0
3512,Valladolid,Barcelona,1,3,A,0.0,2.0,A,1.6,1.2,1.8,0.8
3513,Celta,Sevilla,0,0,D,0.0,0.0,D,1.0,2.6,0.8,1.6
3514,Betis,Mallorca,0,2,A,0.0,1.0,A,1.0,1.4,1.6,2.6
3515,Espanol,Albacete,1,1,D,0.0,1.0,A,1.6,1.0,1.2,1.0
3516,Real Madrid,Osasuna,0,3,A,0.0,2.0,A,2.2,1.6,1.2,1.0
3517,Santander,Ath Bilbao,1,2,A,0.0,1.0,A,1.6,2.0,1.4,2.0
3518,Sociedad,Murcia,2,0,H,0.0,0.0,D,1.0,1.2,0.6,1.2
3519,Villarreal,La Coruna,0,2,A,0.0,1.0,A,0.6,1.0,1.4,2.0
3520,Zaragoza,Valencia,0,1,A,0.0,0.0,D,1.4,0.8,3.0,0.2
3521,Betis,Barcelona,1,1,D,1.0,1.0,D,0.8,1.6,1.8,0.6
3522,Ath Bilbao,Zaragoza,4,0,H,1.0,0.0,H,1.6,1.4,1.2,1.0
3523,Ath Madrid,Real Madrid,1,2,A,0.0,1.0,A,1.2,1.4,2.0,2.0
3524,La Coruna,Valladolid,1,1,D,0.0,1.0,A,1.8,1.4,1.0,1.6
3525,Valencia,Sociedad,2,2,D,0.0,0.0,D,2.6,0.2,1.2,1.0
3526,Sevilla,Santander,5,2,H,2.0,0.0,H,0.4,1.6,1.6,2.2
3527,Osasuna,Espanol,1,3,A,0.0,1.0,A,1.6,0.8,0.8,1.0
3528,Albacete,Celta,0,2,A,0.0,1.0,A,1.2,1.2,0.8,1.6
3529,Mallorca,Villarreal,1,2,A,1.0,1.0,D,1.6,2.0,0.6,1.0
3530,Barcelona,Malaga,3,0,H,3.0,0.0,H,1.4,0.4,1.6,0.8
3531,Murcia,Betis,0,1,A,0.0,1.0,A,0.4,1.4,1.0,1.6
3532,Espanol,Ath Madrid,3,1,H,0.0,0.0,D,1.4,1.0,1.2,1.4
3533,Malaga,La Coruna,1,1,D,1.0,1.0,D,1.2,1.2,1.6,0.8
3534,Valladolid,Mallorca,1,3,A,0.0,1.0,A,0.8,1.8,1.0,2.0
3535,Zaragoza,Sevilla,4,4,D,2.0,1.0,H,1.0,1.6,1.4,1.6
3536,Villarreal,Murcia,1,0,H,0.0,0.0,D,0.6,1.0,0.4,1.2
3537,Santander,Albacete,0,2,A,0.0,1.0,A,1.8,3.2,1.0,1.2
3538,Ath Bilbao,Valencia,1,1,D,1.0,1.0,D,2.2,1.0,2.6,0.6
3539,Celta,Osasuna,1,0,H,0.0,0.0,D,1.2,1.2,1.6,1.2
3540,Betis,Sociedad,2,1,H,2.0,1.0,H,1.0,1.4,1.2,1.2
3541,Real Madrid,Barcelona,1,2,A,0.0,0.0,D,2.2,2.0,1.6,0.4
3542,Ath Madrid,Celta,3,2,H,3.0,1.0,H,1.0,1.8,0.6,0.4
3543,La Coruna,Real Madrid,2,0,H,1.0,0.0,H,1.6,1.0,2.0,1.6
3544,Valencia,Betis,2,0,H,1.0,0.0,H,1.8,0.6,1.2,1.2
3545,Sociedad,Villarreal,2,2,D,1.0,1.0,D,1.4,1.4,0.6,0.6
3546,Sevilla,Ath Bilbao,2,0,H,1.0,0.0,H,2.2,2.2,1.6,0.8
3547,Osasuna,Santander,1,2,A,0.0,0.0,D,1.2,1.2,1.0,2.8
3548,Murcia,Valladolid,2,1,H,1.0,1.0,D,0.4,1.2,1.0,2.0
3549,Barcelona,Espanol,4,1,H,2.0,1.0,H,1.8,0.6,1.8,1.0
3550,Albacete,Zaragoza,3,1,H,1.0,0.0,H,1.0,1.2,1.6,2.2
3551,Mallorca,Malaga,2,1,H,1.0,0.0,H,1.4,1.2,1.2,1.4
3552,Celta,Barcelona,1,0,H,1.0,0.0,H,1.0,0.6,2.6,0.8
3553,Real Madrid,Mallorca,2,3,A,1.0,3.0,A,1.0,1.8,1.8,1.0
3554,Zaragoza,Osasuna,1,0,H,0.0,0.0,D,1.4,2.8,1.2,1.4
3555,Villarreal,Betis,1,0,H,0.0,0.0,D,1.0,1.0,0.8,1.2
3556,Valladolid,Sociedad,2,2,D,1.0,2.0,A,1.0,2.2,1.6,1.4
3557,Sevilla,Valencia,0,2,A,0.0,1.0,A,2.4,1.2,1.6,0.6
3558,Malaga,Murcia,1,0,H,0.0,0.0,D,1.2,1.6,0.4,1.4
3559,Ath Bilbao,Albacete,1,1,D,0.0,0.0,D,1.4,0.8,1.4,1.2
3560,Santander,Ath Madrid,2,2,D,0.0,1.0,A,1.4,2.4,1.6,2.2
3561,Espanol,La Coruna,2,0,H,1.0,0.0,H,1.6,1.6,1.6,0.8
3562,Villarreal,Valencia,2,1,H,2.0,1.0,H,1.2,1.0,1.6,0.6
3563,Betis,Valladolid,1,0,H,0.0,0.0,D,0.8,1.0,1.2,2.2
3564,La Coruna,Celta,3,0,H,3.0,0.0,H,1.2,0.8,1.2,0.6
3565,Albacete,Sevilla,1,4,A,0.0,1.0,A,1.4,1.0,2.2,1.6
3566,Ath Madrid,Zaragoza,1,2,A,0.0,0.0,D,1.6,2.4,1.2,2.4
3567,Barcelona,Santander,1,0,H,1.0,0.0,H,2.0,0.8,1.4,2.4
3568,Mallorca,Espanol,4,2,H,0.0,2.0,A,2.2,1.2,2.0,1.4
3569,Murcia,Real Madrid,2,1,H,2.0,0.0,H,0.4,1.2,1.0,2.2
3570,Osasuna,Ath Bilbao,1,2,A,0.0,0.0,D,1.0,1.4,1.6,1.0
3571,Sociedad,Malaga,1,1,D,0.0,0.0,D,1.8,1.6,1.2,1.4
3572,Zaragoza,Barcelona,2,1,H,1.0,1.0,D,1.6,2.4,2.0,0.6
3573,Valencia,Albacete,0,1,A,0.0,0.0,D,1.6,1.0,1.4,1.6
3574,Sevilla,Osasuna,1,0,H,0.0,0.0,D,3.0,1.8,0.6,1.8
3575,Santander,La Coruna,0,1,A,0.0,1.0,A,1.2,2.2,1.4,0.8
3576,Valladolid,Villarreal,3,0,H,1.0,0.0,H,1.0,1.8,1.6,0.8
3577,Malaga,Betis,2,3,A,2.0,0.0,H,0.8,1.4,0.8,0.8
3578,Espanol,Murcia,2,0,H,0.0,0.0,D,2.2,2.0,0.8,1.0
3579,Celta,Mallorca,1,2,A,0.0,0.0,D,1.2,1.2,2.6,1.6
3580,Ath Bilbao,Ath Madrid,3,4,A,1.0,3.0,A,1.6,1.0,1.6,2.2
3581,Real Madrid,Sociedad,1,4,A,1.0,3.0,A,1.2,2.0,1.6,1.8
3582,Ath Madrid,Malaga,2,0,H,1.0,0.0,H,2.2,2.4,1.2,1.4
3583,Espanol,La Coruna,1,1,D,1.0,0.0,H,2.0,1.8,1.4,0.6
3584,Numancia,Betis,1,1,D,1.0,1.0,D,1.4,1.0,1.2,1.2
3586,Sevilla,Albacete,1,0,H,0.0,0.0,D,2.2,1.4,1.6,1.2
3588,Osasuna,Ath Bilbao,1,1,D,1.0,1.0,D,0.4,1.4,1.4,1.8
3589,Mallorca,Real Madrid,0,1,A,0.0,0.0,D,2.8,1.4,1.0,2.6
3590,Santander,Barcelona,0,2,A,0.0,0.0,D,0.8,1.4,1.6,1.0
3591,Valencia,Villarreal,2,1,H,2.0,0.0,H,1.2,0.8,1.2,1.2
3592,Ath Bilbao,Valencia,2,2,D,2.0,0.0,H,1.4,1.8,1.4,0.8
3593,Barcelona,Sevilla,2,0,H,1.0,0.0,H,1.6,0.8,1.6,0.6
3594,Real Madrid,Numancia,1,0,H,1.0,0.0,H,1.0,2.2,1.4,1.2
3595,Villarreal,Sociedad,0,0,D,0.0,0.0,D,1.2,1.6,2.0,1.4
3596,Albacete,Ath Madrid,0,2,A,0.0,0.0,D,1.2,1.4,2.4,1.8
3597,Betis,Espanol,1,4,A,0.0,2.0,A,1.0,1.2,1.6,1.8
3598,Getafe,Mallorca,1,2,A,0.0,1.0,A,1.0,3.0,2.2,1.4
3599,La Coruna,Osasuna,1,3,A,1.0,0.0,H,1.4,0.6,0.6,1.4
3600,Levante,Santander,3,1,H,0.0,1.0,A,1.0,1.0,0.8,1.4
3601,Malaga,Zaragoza,0,0,D,0.0,0.0,D,1.0,1.6,1.8,1.2
3602,Valencia,Sociedad,3,1,H,1.0,0.0,H,1.4,1.2,1.6,1.0
3603,Espanol,Real Madrid,1,0,H,1.0,0.0,H,2.2,1.2,1.2,1.8
3604,Osasuna,Betis,3,2,H,0.0,1.0,A,1.0,1.2,1.2,1.6
3605,Ath Bilbao,La Coruna,1,2,A,0.0,0.0,D,1.8,1.8,1.2,1.2
3606,Ath Madrid,Barcelona,1,1,D,0.0,1.0,A,2.2,1.4,1.2,0.6
3607,Mallorca,Malaga,1,2,A,0.0,1.0,A,2.2,1.4,0.8,1.2
3608,Numancia,Getafe,1,0,H,1.0,0.0,H,1.2,1.2,1.0,2.5
3609,Santander,Villarreal,1,1,D,0.0,0.0,D,0.6,1.8,0.8,1.2
3610,Sevilla,Levante,3,0,H,1.0,0.0,H,1.2,1.0,2.0,1.0
3611,Zaragoza,Albacete,4,3,H,1.0,2.0,A,1.6,0.6,0.6,1.6
3612,Real Madrid,Osasuna,1,0,H,0.0,0.0,D,0.8,1.4,1.6,1.4
3613,Getafe,Espanol,1,0,H,1.0,0.0,H,0.6666666666666666,2.0,2.0,1.2
3614,Villarreal,Sevilla,0,0,D,0.0,0.0,D,0.8,1.4,1.8,0.6
3615,Sociedad,Santander,0,1,A,0.0,1.0,A,1.4,1.2,0.4,1.6
3616,Malaga,Numancia,4,1,H,3.0,0.0,H,1.0,1.4,1.0,1.0
3617,Albacete,Mallorca,0,0,D,0.0,0.0,D,1.0,2.2,1.8,1.4
3618,La Coruna,Valencia,1,5,A,0.0,4.0,A,1.6,1.0,1.6,1.4
3619,Betis,Ath Bilbao,2,1,H,1.0,1.0,D,1.6,2.0,1.8,2.0
3620,Levante,Ath Madrid,1,0,H,1.0,0.0,H,1.3333333333333333,1.6666666666666667,2.0,1.2
3621,Barcelona,Zaragoza,4,1,H,1.0,1.0,D,1.4,0.6,2.2,1.2
3622,Ath Madrid,Villarreal,1,0,H,1.0,0.0,H,1.8,1.0,0.4,1.2
3623,La Coruna,Betis,1,1,D,0.0,0.0,D,1.2,2.0,1.8,2.2
3624,Ath Bilbao,Real Madrid,2,1,H,2.0,0.0,H,1.6,2.2,0.8,1.0
3625,Zaragoza,Levante,4,3,H,1.0,2.0,A,2.0,1.8,1.25,1.25
3626,Valencia,Santander,2,0,H,2.0,0.0,H,2.4,1.2,0.6,1.4
3627,Sevilla,Sociedad,2,1,H,1.0,1.0,D,1.0,0.4,1.2,1.2
3628,Espanol,Malaga,1,0,H,0.0,0.0,D,1.6,0.6,1.6,1.4
